Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Kivi,ruffe,14KIRU1,Con,Fish,NA,-25.6,8.4,47.2,14.4,3.3
Kivi,ruffe,14KIRU10,Con,Fish,NA,-27.2,9.3,46.4,14.2,3.3
Kivi,ruffe,14KIRU11,Con,Fish,NA,-24.9,8.9,46.9,14.3,3.3
Kivi,ruffe,14KIRU12,Con,Fish,NA,-24,9.2,46.5,14.2,3.3
Kivi,ruffe,14KIRU13,Con,Fish,NA,-23.8,8.6,46.6,14.2,3.3
Kivi,ruffe,14KIRU14,Con,Fish,NA,-24.3,9.2,47.6,14.3,3.3
Kivi,ruffe,14KIRU15,Con,Fish,NA,-23.3,8.6,47.4,14.6,3.3
Kivi,ruffe,14KIRU16,Con,Fish,NA,-24.4,8.8,47.2,14.5,3.2
Kivi,ruffe,14KIRU17,Con,Fish,NA,-22.6,9.3,46,14.2,3.2
Kivi,ruffe,14KIRU18,Con,Fish,NA,-24.5,8.8,46.5,14.5,3.2
Kivi,ruffe,14KIRU19,Con,Fish,NA,-22.9,8.6,46.8,14.4,3.3
Kivi,ruffe,14KIRU2,Con,Fish,NA,-25.3,8.8,46.8,14.3,3.3
Kivi,ruffe,14KIRU20,Con,Fish,NA,-24.6,9.4,47.6,14.4,3.3
Kivi,ruffe,14KIRU21,Con,Fish,NA,-25.6,9.7,46.8,14.2,3.3
Kivi,ruffe,14KIRU22,Con,Fish,NA,-26.2,9.7,46.6,14.4,3.2
Kivi,ruffe,14KIRU23,Con,Fish,NA,-25,9.7,46.9,14.5,3.2
Kivi,ruffe,14KIRU24,Con,Fish,NA,-24.7,8.4,46.5,13.9,3.3
Kivi,ruffe,14KIRU3,Con,Fish,NA,-25.4,9,47.2,14.5,3.2
Kivi,ruffe,14KIRU4,Con,Fish,NA,-25.7,8.8,47.2,14.7,3.2
Kivi,ruffe,14KIRU5,Con,Fish,NA,-25.7,9.1,46.4,14.1,3.3
Kivi,ruffe,14KIRU6,Con,Fish,NA,-25.3,8.9,45.9,14.1,3.3
Kivi,ruffe,14KIRU7,Con,Fish,NA,-25.8,9.5,46.7,14.1,3.3
Kivi,ruffe,14KIRU8,Con,Fish,NA,-24.3,9.4,47,14.2,3.3
Kivi,ruffe,14KIRU9,Con,Fish,NA,-24.2,8.1,46,14,3.3
Kivi,Sialis,11KI1mSialis,BMI,Litt,1,-23.3,3.8,47.6,10.3,4.6
Kivi,Sialis,11KI3mSialis,BMI,Litt,3,-25.4,3.5,43.2,10.2,4.3
Kivi,Sialis,11KIrantaSialis,BMI,Litt,0,-24.5,2,47.7,10.9,4.4
Kivi,Sialis,8.9.2011KI2mSialis,BMI,Litt,2,-23.3,3.1,48,11,4.4
Kivi,Trichoptera,11KI1mTrichoptera,BMI,Litt,1,-24.2,4,46.5,9.6,4.8
Kivi,Trichoptera,11KI3mTrichoptera,BMI,Litt,3,-23.8,4.2,49.4,7.6,6.5
Kivi,Trichoptera,11KIrantaTricoptera,BMI,Litt,0,-25.8,2.2,46.6,9.2,5.1
Kivi,Trichoptera,trichoptera0m-Kivi,BMI,Litt,0,-27.7,2.5,46.3,10.7,4.3
Kivi,Valvata,11KI1mValvata,BMI,Litt,1,-20.9,2.1,37.1,7.2,5.1
Kivi,Valvata,11KI2mValvata,BMI,Litt,2,-22.3,3.2,37.2,8.9,4.2
Kivi,Valvata,11KI3mValvata,BMI,Litt,3,-20.4,2.3,27.5,4,6.8
Kivi,Valvata,11KIrantaValvata,BMI,Litt,0,-23,1.7,38.7,7.3,5.3
Vuontis,9spstickleback,19,Con,Fish,NA,-26.3,6.7,,,
Vuontis,9spstickleback,20,Con,Fish,NA,-26.7,6.3,,,
Vuontis,9spstickleback,21,Con,Fish,NA,-22.1,5.8,,,
Vuontis,9spstickleback,22,Con,Fish,NA,-26.3,6.8,,,
Vuontis,burbot,07MVB19,Pisc,Fish,NA,-22.8,8.5,46.3,13.6,3.4
Vuontis,burbot,07MVB20,Pisc,Fish,NA,-24.8,10.1,48.7,14.4,3.4
Vuontis,burbot,07MVB21,Pisc,Fish,NA,-25.6,10.5,46.4,13.6,3.4
Vuontis,grayling,07VG1,Con,Fish,NA,-21.6,6.1,45.8,13.6,3.4
Vuontis,grayling,07VG2,Con,Fish,NA,-20.5,5.4,35.7,9.1,3.9
Vuontis,grayling,07VG3,Con,Fish,NA,-22,5.5,45.4,13.4,3.4
Vuontis,grayling,07VG4,Con,Fish,NA,-20.8,5.6,46.3,13.3,3.5
Vuontis,grayling,07VG5,Con,Fish,NA,-19.8,5.8,45.8,13.7,3.4
Vuontis,grayling,07VG6,Con,Fish,NA,-22.6,6.5,46.3,12.4,3.7
Vuontis,grayling,07VG7,Con,Fish,NA,-22.1,6.4,44.4,11.7,3.8
Vuontis,grayling,07VG8,Con,Fish,NA,-18.9,5.6,45.9,12,3.8
Vuontis,brown trout,07VBT1,Pisc,Fish,NA,-25.1,9.2,46.8,13.3,3.5
Vuontis,brown trout,07VBT2,Pisc,Fish,NA,-25.8,9.4,44.5,13,3.4
