Lake,Species,Code,Group,Class,Depth,d13C,d15N,%C,%N,C/N
Vuontis,perch,VPE3,Con,Fish,NA,-21.9,6.4,43.5,12.5,3.5
Vuontis,perch,VPE4,Con,Fish,NA,-20.9,6.5,33.5,9.7,3.5
Vuontis,perch,VPE5,Con,Fish,NA,-21.7,6.8,45.5,12.8,3.6
Vuontis,perch,VPE6,Con,Fish,NA,-18.8,5.7,45.8,12.9,3.6
Vuontis,perch,VPE7,Con,Fish,NA,-21.2,7.9,47,13.3,3.5
Vuontis,perch,VPE8,Con,Fish,NA,-20.9,6.1,44.7,12.9,3.5
Vuontis,perch,VPE9,Con,Fish,NA,-20.9,6.2,44.9,12.9,3.5
Vuontis,perch,VPE10,Con,Fish,NA,-24.1,6.7,44.7,12.6,3.6
Vuontis,perch,VPE11,Con,Fish,NA,-16.9,6.6,46.2,12.7,3.6
Vuontis,perch,VPE12,Con,Fish,NA,-21.9,7.4,46.3,12.9,3.6
Vuontis,perch,VPE13,Con,Fish,NA,-20.5,6.1,45.4,12.4,3.7
Vuontis,perch,VPE14,Con,Fish,NA,-20.3,6.5,45.9,12.5,3.7
Vuontis,perch,VPE15,Con,Fish,NA,-20.6,7.3,45.7,12.5,3.7
Vuontis,perch,VPE16,Con,Fish,NA,-22.9,5.8,45,12.4,3.6
Vuontis,perch,VPE17,Con,Fish,NA,-22.2,7.2,45.1,12.6,3.6
Vuontis,perch,VPE18,Con,Fish,NA,-22.4,5.7,45.7,12.4,3.7
Vuontis,perch,VPE19,Con,Fish,NA,-21.3,5.9,46.6,12.8,3.7
Vuontis,perch,VPE20,Con,Fish,NA,-22.7,6.9,44.7,12.4,3.6
Vuontis,perch,VPE21,Con,Fish,NA,-22.6,6.4,46.1,12.3,3.7
Vuontis,perch,VPE22,Con,Fish,NA,-22.8,6,46.4,12.5,3.7
Vuontis,perch,VPE23,Con,Fish,NA,-20.7,6.8,45.1,12.2,3.7
Vuontis,perch,VPE24,Con,Fish,NA,-15.7,7.2,45,12.1,3.7
Vuontis,perch,VPE25,Con,Fish,NA,-17.6,7.1,45.5,12,3.8
Vuontis,perch,VPE26,Con,Fish,NA,-22.1,5.6,47.1,12.2,3.9
Vuontis,perch,VPE27,Con,Fish,NA,-21.7,6,46.4,12.1,3.9
Vuontis,perch,VPE28,Con,Fish,NA,-21.2,5.8,46.1,12,3.9
Vuontis,perch,VPE29,Con,Fish,NA,-23.4,7.4,46.9,12.1,3.9
Vuontis,perch,VPE30,Con,Fish,NA,-22.3,5.8,46,12.4,3.7
Vuontis,perch,VPE31,Con,Fish,NA,-23.6,7.3,47,11.5,4.1
Vuontis,perch,VPE32,Con,Fish,NA,-22,7.3,47.4,10.9,4.3
Vuontis,perch,VPE33,Con,Fish,NA,-21.9,7.6,49.2,12.2,4
Vuontis,perch,VPE34,Con,Fish,NA,-21.2,8.4,51.3,10.2,5
Vuontis,brown trout,VuontisBT1,Pisc,Fish,NA,-26,9.5,49.2,14.1,3.5
Vuontis,brown trout,VuontisBT2,Pisc,Fish,NA,-25,7.6,46.9,14.2,3.3
Vuontis,brown trout,VuontisBT3,Pisc,Fish,NA,-25.1,7.7,47.8,14.4,3.3
Vuontis,brown trout,VuontisBT4,Pisc,Fish,NA,-25.6,8.5,42.2,12.5,3.4
Vuontis,Pisidium,Pisidium,BMI,Litt,5,-28.7,0.6,45.1,10,3.9
Vuontis,Pisidium,Pisidium,BMI,Prof,20,-31.8,2.2,54.6,9.7,4.6
Vuontis,Pisidium,Pisidium,BMI,Prof,10,-33.4,1.3,54.7,9.8,5.5
Vuontis,Trichoptera,Trichoptera,BMI,Litt,1,-18.4,2.2,45.1,10,5.7
Vuontis,Trichoptera,Trichoptera,BMI,Litt,2,-18.4,2.6,54.6,9.7,6.4
Vuontis,Trichoptera,Trichoptera,BMI,Litt,5,-25.8,2.5,54.7,9.8,4.6
Vuontis,Trichoptera,Trichoptera,BMI,Prof,10,-30.4,3.6,48.1,9.4,5.4
Vuontis,Valvata,Valvata,BMI,Litt,2,-16.3,1.1,46.2,10.6,5
Vuontis,Valvata,Valvata,BMI,Prof,10,-28.7,1.7,39,8.3,3
Kivi,zpl,11KI ZPL-bulk,ZPL,ZPL,,-31.2,2.8,46.8,8.7,5.7
Kivi,zpl,11KI ZPL-combo,ZPL,ZPL,,-31.3,3.3,45.7,9,5.1
Kivi,,,ZPL,ZPL,,-31.2,3.1,38.5,6.7,5.7
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-28.9,6.1,38.5,6.7,4.9
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-29.4,4.6,45.7,9,5.2
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-29.2,4.5,38.5,6.7,5.3
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-28.5,5.2,38.5,6.7,5.3
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-29.5,4.6,45.7,9,5.3
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-30.2,5.2,38.5,6.7,5.4
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-29.5,4.9,38.5,6.7,5.5
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-27.9,4.7,38.5,6.7,5.6
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-27.8,4.4,45.7,9,7.3
Vuontis,zpl,zpl_combo,ZPL,ZPL,,-26.3,6.6,38.5,6.7,9.6
