"ID","d_13C","d_15N","d_2H","organism","location","month","tissue"
"WU-22-07-L",-32.73,3.86,-145.91,"common shiner","creek","may","liver"
"WU-22-07-M",-30.37,6.83,-109.29,"common shiner","creek","may","muscle"
"WU-22-10-L",-30.81,6.06,-157.7727562,"common shiner","creek","may","liver"
"WU-22-10-M",-28.74,6.04,-114.77,"common shiner","creek","may","muscle"
"WU-22-14-L",-32.33,4.94,-145.34,"common shiner","creek","may","liver"
"WU-22-14-M",-28.9,5.47,-108.34,"common shiner","creek","may","muscle"
"WU-22-24-M",-30.53,4.49,-112.04,"common shiner","creek","may","muscle"
"CC12-22-198-L",-31.01,5.93,-150.11,"creek chub","creek","may","liver"
"CC12-22-198-M",-27.39,6.98,-116.31,"creek chub","creek","may","muscle"
"CC18-22-240L",-30.87,5.87,-115.4201713,"creek chub","creek","may","liver"
"CC18-22-240-M",-30.72,6.56,-113.388955,"creek chub","creek","may","muscle"
"CC-S22-101-M",-27.11,8.76,-103.7751469,"creek chub","creek","october","muscle"
"DN2-22-82-L",-30.34,6.88,-117.67,"creek chub","creek","may","liver"
"DN2-22-82-M",-27.71,7.05,-99.08,"creek chub","creek","may","muscle"
"OP1-22-45-L",-29.35,5.51,-116.65,"creek chub","lake","may","liver"
"OP1-22-45-M",-29.22,6.78,-120.76,"creek chub","lake","may","muscle"
"OP16-A22-01-L",-22.33,5.89,-87.6,"creek chub","lake","august","liver"
"OP17-A22-02-L",-26.32,5.05,-113.6759245,"creek chub","lake","august","liver"
"OP17-A22-02-M",-26.68,6.45,-113.1534421,"creek chub","lake","august","muscle"
"OP2-S22-100-M",-27.85,6.46,-104.2897129,"creek chub","lake","october","muscle"
"OP7-22-387-L",-27.57,7.05,-111.759496,"creek chub","lake","may","liver"
"OP7-22-387-M",-27.92,7.78,-121.58,"creek chub","lake","may","muscle"
"UP1-22-117-L",-31.24,6.94,-141.5429719,"creek chub","creek","may","liver"
"UP1-22-117-M",-29.02,7.5,-110.0851774,"creek chub","creek","may","muscle"
"WD-S22-207-M",-31.1,6.65,-101.61,"creek chub","creek","october","muscle"
"WU-22-13-L",-28.91,5.36,-135.9947664,"creek chub","creek","may","liver"
"WU-22-13-M",-26.9,6.59,-111.92,"creek chub","creek","may","muscle"
"WU-22-34-L",-26.87,7.71,-116.14,"creek chub","creek","may","liver"
"WU-22-34-M",-29.28,8.16,-114.03,"creek chub","creek","may","muscle"
"CC10-22-18-L",-32.69,6.33,-140.97,"golden shiner","creek","may","liver"
"CC10-22-18-M",-31.58,8.17,-116.22,"golden shiner","creek","may","muscle"
"CC12-22-203-L",-30.09,5.06,-119.8,"golden shiner","creek","may","liver"
"CC12-22-203-M",-29.4,6.13,-113.78,"golden shiner","creek","may","muscle"
"CC16-22-225-L",-28.14,6.68,-111.87,"golden shiner","creek","may","liver"
"CC16-22-225-M",-28.59,7.15,-110.61,"golden shiner","creek","may","muscle"
"CC16-22-230-L",-31.47,6.65,-124.08,"golden shiner","creek","may","liver"
"CC16-22-230-M",-31.46,7.17,-114.71,"golden shiner","creek","may","muscle"
"FU-22-16-L",-30.35,5.05,-131.01,"golden shiner","creek","may","liver"
"FU-22-16-M",-28.28,6.51,-117.2,"golden shiner","creek","may","muscle"
"OP1-22-123-L",-29.95,6.14,-123.96,"golden shiner","lake","may","liver"
"OP1-22-123-M",-28.24,6.43,-120.19,"golden shiner","lake","may","muscle"
"OP12-22-321-M",-28.2,6.08,-111.77,"golden shiner","lake","may","muscle"
"OP1-22-34-L",-31.23,6.3,-112.42,"golden shiner","lake","may","liver"
"OP1-22-34-M",-29.76,6.18,-111.95,"golden shiner","lake","may","muscle"
"OP17-A22-01-M",-28.26,4.75,-113.73,"golden shiner","lake","august","muscle"
"OP7-22-379-L",-29.49,6.36,-119.67,"golden shiner","lake","may","liver"
"OP7-22-379-M",-29.16,6.58,-114.5777344,"golden shiner","lake","may","muscle"
"UP2-22-97-L",-30.45,7.28,-125.25,"golden shiner","creek","may","liver"
"UP2-22-97-M",-30.13,7.53,-119.7,"golden shiner","creek","may","muscle"
"WU-22-02-L",-33.69,4.75,-145.72,"golden shiner","creek","may","liver"
"WU-22-02-M",-30.23,6.45,-121.51,"golden shiner","creek","may","muscle"
"EF4-22-07-M",-29.62,8.57,-109.79,"northern redbelly dace ","creek","may","muscle"
"EF4-A22-100-M",-29.98,7.9,-120.93,"northern redbelly dace ","creek","august","muscle"
"WD-22-63-M",-29.47,7.78,-111.44,"northern redbelly dace ","creek","may","muscle"
"WU-22-33-M",-30.7,7.53,-107.76,"northern redbelly dace ","creek","may","muscle"
"WU-22-39-M",-30.58,7.86,-106.31,"northern redbelly dace ","creek","may","muscle"
"CC7-22-148-M",-30.5,8.57,-115.98,"pearl dace","creek","may","muscle"
