ID,d_13C,d_15N,d_2H,organism,location,month,,,,
OP7-22-379-M,-29.16,6.58,-114.5777344,golden shiner,lake,may,,,,
OP7-22-387-L,-27.57,7.05,-111.759496,creek chub,lake,may,,,,
OP7-22-387-M,-27.92,7.78,-121.58,creek chub,lake,may,,,,
OP7-S22-105-L,-25.82,3.8,-107.72,common shiner,lake,october,,,,
OP7-S22-105-M,-29.08,5.78,-159.38,common shiner,lake,october,,,,
OP7-S22-106-M,-32.34,4.19,-107.17,common shiner,lake,october,,,,
OP9-22-279-L,-30.26,5.56,-145.0881997,bluntnose minnow,lake,october,,,,
OP9-22-279-M,-28.62,6.19,-114.3184723,bluntnose minnow,lake,october,,,,
OP9-22-334-M,-28.54,6.7,-118.11,common shiner,lake,may,,,,
UP1-22-117-L,-31.24,6.94,-141.5429719,creek chub,creek,may,,,,
UP1-22-117-M,-29.02,7.5,-110.0851774,creek chub,creek,may,,,,
UP2-22-97-L,-30.45,7.28,-125.25,golden shiner,creek,may,,,,
UP2-22-97-M,-30.13,7.53,-119.7,golden shiner,creek,may,,,,
WD-22-63-M,-29.47,7.78,-111.44,northern redbelly dace ,creek,may,,,,
WD-22-64-L,-29.94,6.19,-109.99,pearl dace,creek,may,,,,
WD-22-64-M,-31.16,6.02,-109.29,pearl dace,creek,may,,,,
WD-22-AL,-73.23,0.9,-123.83,algae,creek,may,,,,
WD-22-LE,-26.97,0.82,-100.96,leaves,creek,may,,,,
WD-22-MUSS,-33.43,4.04,-115.09,mussel,creek,may,,,,
WD-A22-11-L,-33.43,6.39,-136.65,yellow perch,creek,august,,,,
WD-A22-11-M,-31.43,6.74,-90.31,yellow perch,creek,august,,,,
WD-A22-12-L,-29.23,5.56,-144.8885331,yellow perch,creek,august,,,,
WD-A22-12-M,-26.85,6.32,-108.2010742,yellow perch,creek,august,,,,
WD-A22-14-M,-30.83,6.62,-99.55,yellow perch,creek,august,,,,
WD-A22-25-L,-33.06,8.92,-152.77,pearl dace,creek,august,,,,
WD-A22-25-M,-31.61,8.34,-108.823831,pearl dace,creek,august,,,,
WD-A22-33-M,-31.03,7.59,-110.48,pearl dace,creek,august,,,,
WD-A22-57-M,-28.29,7.7,-105.68,common shiner,creek,august,,,,
WD-A22-MUSS-1,-32.78,3.76,-117.38,mussel,creek,august,,,,
WD-A22-MUSS-2,-33.84,4.03,-110.01,mussel,creek,august,,,,
WD-S22-201-L,-33.99,4.89,-179.12,pearl dace,creek,october,,,,
WD-S22-201-M,-33.76,5.55,-126.04,pearl dace,creek,october,,,,
WD-S22-207-M,-31.1,6.65,-101.61,creek chub,creek,october,,,,
WD-S22-702-L,-32.32,6.76,-118.6,yellow perch,creek,october,,,,
WD-S22-702-M,-29.47,7.38,-111.79,yellow perch,creek,october,,,,
WU-22-02-L,-33.69,4.75,-145.72,golden shiner,creek,may,,,,
WU-22-02-M,-30.23,6.45,-121.51,golden shiner,creek,may,,,,
WU-22-03-M,-31.6,5.41,-111.97,common shiner,creek,may,,,,
WU-22-04-L,-31.27,4.86,-132.75,common shiner,creek,may,,,,
WU-22-04-M,-27.57,6.46,-108.01,common shiner,creek,may,,,,
WU-22-07-L,-32.73,3.86,-145.91,common shiner,creek,may,,,,
WU-22-07-M,-30.37,6.83,-109.29,common shiner,creek,may,,,,
WU-22-10-L,-30.81,6.06,-157.7727562,common shiner,creek,may,,,,
WU-22-10-M,-28.74,6.04,-114.77,common shiner,creek,may,,,,
WU-22-13-L,-28.91,5.36,-135.9947664,creek chub,creek,may,,,,
WU-22-13-M,-26.9,6.59,-111.92,creek chub,creek,may,,,,
WU-22-14-L,-32.33,4.94,-145.34,common shiner,creek,may,,,,
WU-22-14-M,-28.9,5.47,-108.34,common shiner,creek,may,,,,
WU-22-24-M,-30.53,4.49,-112.04,common shiner,creek,may,,,,
WU-22-27-M,-28.66,7.84,-114.84,pearl dace,creek,may,,,,
WU-22-33-M,-30.7,7.53,-107.76,northern redbelly dace ,creek,may,,,,
WU-22-34-L,-26.87,7.71,-116.14,creek chub,creek,may,,,,
WU-22-34-M,-29.28,8.16,-114.03,creek chub,creek,may,,,,
WU-22-39-M,-30.58,7.86,-106.31,northern redbelly dace ,creek,may,,,,
WU-A22-AL,-32.43,1.83,-133.36,algae,creek,august,,,,
WU-A22-LE,-28.85,0.93,-123.46,leaves,creek,august,,,,
